clip_name,spectral_centroid_mean,spectral_bandwidth_mean,spectral_flatness_mean,spectral_contrast_mean,rms_energy_mean,rms_energy_max,rms_energy_variance,rms_energy_percentile,onset_frames_mean,onset_times_mean,attack_time_mean,modulation_depth_mean,spectral_rolloff_mean,harmonic_mean,delay_presence,spectral_flux_mean,harmonic_distortion_ratio_mean,zero_crossing_rate_mean,stereo_width,mfcc2_mean,chroma_mean,vibrato_depth,reverb_tail_length_mean,dynamic_range,peak_to_rms_ratio_mean
last_resort_guitar.mp3_1,2110.1894890047784,1626.2441734972363,0.00013874286,20.626722718658456,0.07083253,0.16806519,0.00028694226,0.07880231,676.3085106382979,7.8519264727167455,0.016757369614512473,1626.2441734972363,3816.1269244025734,33.521233,3514.9375,1.0970285,3.261658,0.07174748754353716,0.57899755,214.3588,0.47715685,5.2792163,3816.1269244025734,0.124089,18211.96980492863
last_resort_guitar.mp3_2,2006.4626955358858,1610.5259024737843,0.0001230984,21.049373496080086,0.07805914,0.14818938,0.00028491436,0.089535646,628.3050847457627,7.2946077866174726,0.0012471655328798186,1610.5259024737843,3736.1940744122485,33.750515,4222.2246,1.0840338,3.7802444,0.06180915005804954,0.015943203,212.3464,0.44313803,5.6589413,3736.1940744122485,0.10335602,16474.687382676646
last_resort_guitar.mp3_3,2340.1517869107533,1580.3342974714878,1.5135036e-05,20.169496589541872,0.11289645,0.15711947,0.00016432535,0.121414974,654.4117647058823,7.597705748966254,0.018979591836734692,1580.3342974714878,3957.4094034200853,67.48104,8547.439,0.9341217,1.6163031,0.0989619866244195,0.04679751,229.22263,0.5265944,1.8170611,3957.4094034200853,0.08297462,11426.399292641196
last_resort_guitar.mp3_4,2330.497758076673,1642.9205883709417,0.00013861796,19.22644168133867,0.08863809,0.12919112,0.00025570794,0.09913646,780.3571428571429,9.059928733398122,0.02199546485260771,1642.9205883709417,4004.592451443982,50.004112,5369.1504,1.0237108,2.8778992,0.09511960623065016,0.2672378,220.4423,0.5627294,3.3254817,4004.592451443982,0.08609104,14508.434215441392
last_resort_guitar.mp3_5,2397.136305598615,1564.924092475368,2.4408166e-05,20.887852651043097,0.1100792,0.15976979,0.00025097953,0.12054755,638.2888888888889,7.41051952632905,0.02036281179138322,1564.924092475368,4029.09230329673,64.071884,8192.184,0.92239594,1.8907102,0.09806365494388544,0.042515017,220.6765,0.4471089,1.8294648,4029.09230329673,0.11015959,11718.83447117722
last_resort_guitar.mp3_6,2118.3544605434404,1620.208843543094,0.00013153089,20.655621017614376,0.07533516,0.17483662,0.0005553259,0.08195102,650.1931818181819,7.548728097299525,0.01870748299319728,1620.208843543094,3818.8769077738,36.25254,4124.9663,1.085235,3.2336624,0.07239978896575078,0.34269664,212.55894,0.46731114,5.070574,3818.8769077738,0.13101779,17083.65488920086
master_of_puppets_guitar.mp3_1,1622.9424413699785,1666.4085414282486,4.1248095e-05,20.2187243104795,0.11796215,0.32769948,0.0025472296,0.13759191,638.3469387755102,7.4111934841963985,0.016122448979591836,1666.4085414282486,3347.163093496033,35.239998,10906.805,1.0178038,6.1873546,0.0399937113003096,0.8490195,169.00917,0.49220502,5.682967,3347.163093496033,0.28181964,10935.710303788768
master_of_puppets_guitar.mp3_2,1979.2129985256515,1741.8891471421227,6.5402295e-05,23.85502613005155,0.08113907,0.124995425,0.00029318218,0.09246321,621.8041237113403,7.21913177642191,0.0006802721088435374,1741.8891471421227,3540.328592117357,39.800632,4552.8203,0.8895806,6.2449236,0.06923692071400929,0.032537915,194.55106,0.37284443,2.0988631,3540.328592117357,0.07742883,15873.978314836602
master_of_puppets_guitar.mp3_3,1763.818645121568,1662.6989695707734,9.329392e-05,20.369217932119486,0.08552634,0.20857851,0.0006004327,0.09924066,616.0,7.151746031746032,0.005510204081632653,1662.6989695707734,3499.01217528541,32.44026,5237.5327,0.9081415,4.0577626,0.04800348901896285,0.0929588,185.0909,0.49899045,3.6903768,3499.01217528541,0.16929851,14931.071446392556
master_of_puppets_guitar.mp3_4,1565.3605233157525,1692.7488648359817,0.00022571589,20.087433787622096,0.07597295,0.19057256,0.00049759174,0.085754976,555.5957446808511,6.450453997201717,0.02759637188208617,1692.7488648359817,3232.6971189894543,26.284174,4150.979,0.9580976,22.853638,0.03657989974361455,0.021486377,184.53563,0.48864114,4.059319,3232.6971189894543,0.15045995,16979.725552367883
