clip_name,spectral_centroid_mean,spectral_bandwidth_mean,spectral_flatness_mean,spectral_contrast_mean,rms_energy_mean,rms_energy_max,rms_energy_variance,rms_energy_percentile,onset_frames_mean,onset_times_mean,attack_time_mean,modulation_depth_mean,spectral_rolloff_mean,harmonic_mean,delay_presence,spectral_flux_mean,harmonic_distortion_ratio_mean,zero_crossing_rate_mean,stereo_width,mfcc2_mean,chroma_mean,vibrato_depth,reverb_tail_length_mean,dynamic_range,peak_to_rms_ratio_mean,Cluster
brain_stew_guitar.mp3_1,2073.464876140271,1445.1190766489512,9.769659e-06,19.79700512672481,0.12696677,0.16849566,0.00015223511,0.13568614,643.0065789473684,7.465291800930898,0.0271428571428571,1445.1190766489512,3523.445360874613,70.98243,10771.085,0.90153897,1.5536511,0.0865727947223297,0.024354482,245.24057,0.60118204,1.3931726,3523.445360874613,0.08165344,10128.632900253351,2
brain_stew_guitar.mp3_2,2741.46932642687,2701.9220161373096,0.014442752,18.43767754801869,0.045850076,0.17153609,0.0027234883,0.103633225,584.1428571428571,6.781885325558795,0.0239909297052154,2701.9220161373096,5409.083958675987,19.501488,3194.3372,0.79270184,5.5860476,0.0859696237664473,0.15361589,126.65122,0.5951759,15.857552,5409.083958675987,0.17151581,27284.572026381014,25
brain_stew_guitar.mp3_3,1959.5583820067725,1462.806346024243,1.17975505e-05,19.861216559287957,0.112090826,0.23285362,0.00046514132,0.12218326,668.75,7.764172335600907,0.0250566893424036,1462.806346024243,3418.629328016157,57.99177,8623.43,0.90629846,1.6400769,0.0750460314676857,0.07862927,229.69313,0.58572817,1.3356489,3418.629328016157,0.16884549,11419.310216565078,2
brain_stew_guitar.mp3_4,2474.611623174208,2569.172648025688,0.011048365,18.47153563320201,0.04448824,0.13279568,0.0020593533,0.09234497,643.8703703703703,7.475320399764844,0.0253741496598639,2569.172648025688,4995.186461457527,18.793266,2673.4417,0.8142187,5.5505424,0.0757992393092105,0.021022618,134.41624,0.61118066,14.789653,4995.186461457527,0.13277628,27670.22677986948,25
brain_stew_guitar.mp3_5,3493.783995680909,3295.063211853386,0.01731593,18.16805118376636,0.048457325,0.22400084,0.0038508796,0.115366265,703.1538461538462,8.163600209314495,0.0021541950113378,3295.063211853386,6544.977090085623,19.884968,4100.6646,0.6390124,26.286688,0.1108919976296439,0.0030464341,72.46503,0.6316447,19.879128,6544.977090085623,0.22396539,25857.798048489403,0
brain_stew_guitar.mp3_6,2709.8581358038336,2728.77811271566,0.016430018,18.468879806251717,0.041830525,0.13240995,0.002066705,0.09173576,677.3389830508474,7.863890234059726,0.0087528344671201,2728.77811271566,5405.98397742115,18.248707,2528.6504,0.8075539,5.165696,0.0875504910023219,0.16691273,127.220345,0.6105486,14.769906,5405.98397742115,0.13239902,30790.90357998215,0
burn_it_to_the_ground_guitar.mp3_1,1760.774839881318,1588.3890668829472,1.6016256e-05,19.697954796204865,0.0681568,0.13557048,0.0003864154,0.0814018,571.5818181818182,6.63605194805195,0.0151700680272108,1588.3890668829472,3267.4635754281157,29.757719,3332.8333,0.99510634,2.4808376,0.0527774586397058,0.3122891,218.7467,0.4268895,4.0771036,3267.4635754281157,0.123016,18853.582292323925,3
burn_it_to_the_ground_guitar.mp3_2,2689.3196740611584,2621.2633010113545,0.0066804974,18.975921372450312,0.032969974,0.14286219,0.001185701,0.06305222,555.2,6.445859410430839,0.0131972789115646,2621.2633010113545,5268.568141689241,12.314591,1504.8413,0.668154,3.8757691,0.0737966059162151,0.07005243,126.857864,0.49758688,3.6566427,5268.568141689241,0.14281704,39126.496231263234,0
burn_it_to_the_ground_guitar.mp3_3,1352.4011358383664,1420.5002721338578,1.3618548e-05,19.50165501081062,0.048932806,0.11249403,0.0005512796,0.06483528,616.9444444444445,7.162711010330058,0.0180045351473922,1420.5002721338578,2627.117447513545,17.008875,1951.0791,0.9775079,5.101448,0.0360016719475619,0.11423181,217.07469,0.44601646,4.6537323,2627.117447513545,0.10894843,25974.38860572916,3
burn_it_to_the_ground_guitar.mp3_4,2213.851605960882,2042.8493143001283,0.00451756,19.293609800510648,0.036433753,0.0880506,0.00062773156,0.055556085,657.8833333333333,7.638010582010582,0.0005895691609977,2042.8493143001283,4175.624750568401,16.529255,1294.4298,0.83651537,4.374881,0.0689489405959752,0.0011540116,182.92957,0.4521705,3.3814545,4175.624750568401,0.08800387,35406.71798304192,9
burn_it_to_the_ground_guitar.mp3_5,1880.5692099389164,1469.700901826515,1.17642185e-05,18.953940859362547,0.06271791,0.09568739,0.00021289948,0.0736571,644.4673913043479,7.482251799270432,0.0290249433106575,1469.700901826515,3445.6458313177245,32.22386,2744.7683,0.90886503,3.153936,0.068904723176277,0.39958766,240.3466,0.52143615,1.7449862,3445.6458313177245,0.07503024,20424.78626006432,27
burn_it_to_the_ground_guitar.mp3_6,1571.503375096292,1386.9770719153948,2.3104565e-05,18.844310797611083,0.037863385,0.09036139,0.0003911368,0.05317635,692.1212121212121,8.035511578368721,0.0180272108843537,1386.9770719153948,2972.2153607536766,15.821813,1207.8109,0.9510424,2.577949,0.0502003767172987,0.018076312,224.24414,0.48958564,3.7745032,2972.2153607536766,0.08594001,33964.201106703564,3
Can't_Stop_guitar.mp3_1,1854.6587096757464,1323.097771879146,5.3673244e-05,21.392889427269782,0.054460987,0.12131517,0.00055869564,0.069428384,615.7164179104477,7.148453650116762,0.0073922902494331,1323.097771879146,2951.648818450077,23.642178,2331.7046,0.9730091,18.643444,0.0831457557323916,0.71724224,216.31978,0.38571543,9.780762,2951.648818450077,0.12056581,23227.631368284437,8
Can't_Stop_guitar.mp3_2,1774.7405715768864,1330.5137240996455,1.4386285e-05,21.81602824192124,0.056344967,0.11548022,0.00056300545,0.07208359,618.9024390243902,7.185443283004259,0.0167120181405895,1330.5137240996455,2974.6153462412926,22.929312,2476.3613,1.0462601,24.42607,0.0774186550648219,0.55057687,220.2987,0.40667436,12.349146,2974.6153462412926,0.113877736,22876.92770600179,8
Can't_Stop_guitar.mp3_3,1765.9912471838356,1343.3849094922043,1.9117662e-05,21.423070374370724,0.06441387,0.14391312,0.0007083395,0.08261461,634.6111111111111,7.3678206097253724,0.0003174603174603,1343.3849094922043,2965.915398848684,25.554523,3215.8733,1.0934838,16.79964,0.0730354616147445,0.050826374,219.71657,0.42882782,13.183972,2965.915398848684,0.14185604,20026.741026876,7
Can't_Stop_guitar.mp3_4,2190.7553733120244,1458.3324676729412,2.3779194e-05,23.09199919923183,0.060656868,0.11556971,0.00039616477,0.07372913,678.0,7.87156462585034,0.0200907029478458,1458.3324676729412,3471.462341875484,26.588682,2699.2656,1.0122833,24.015135,0.0931086584510448,0.020130817,189.33043,0.33714744,7.9459558,3471.462341875484,0.11294974,21250.68119535031,4
Can't_Stop_guitar.mp3_5,2213.3666870335765,1754.3998517346472,0.0040299594,21.319473566985938,0.044584952,0.11614266,0.00073577475,0.06179607,729.7460317460317,8.472334881042363,0.0165532879818594,1754.3998517346472,3835.243475474071,18.409075,1803.1063,0.9598904,26.632296,0.0933656485826238,0.00023649273,196.49863,0.39364177,14.100335,3835.243475474071,0.11612071,28843.80517313193,4
Can't_Stop_guitar.mp3_6,1926.3480249161944,1390.246007936638,3.022158e-05,22.658517469053827,0.06672777,0.13766848,0.0007190717,0.08537496,669.6,7.774040816326531,0.0085034013605442,1390.246007936638,3052.931539340654,27.889536,3423.417,1.1722237,13.633904,0.0819258084607198,0.044267777,216.32751,0.3858876,13.945477,3052.931539340654,0.13548963,19332.27815696896,7
